Date/Time,Environment:Outdoor Dry Bulb [C](Hourly),Environment:Wind Speed [m/s](Hourly),Environment:Wind Direction [deg](Hourly),ZONE:Zone Mean Air Temperature [C](Hourly) ,ZONE:Zone Mean Air Temperature [C](Hourly) ,ZONE:Zone Mean Air Temperature [C](Hourly) 
 01/07  04:00:00,6.45,1.5,210,20.7045846858,20.7045846858,20.7045846858
 01/07  05:00:00,6.9916666667,2.1416666667,271.6666666667,20.537226266,20.537226266,20.537226266
 01/07  06:00:00,7.8416666667,1.9583333333,128.3333333333,20.4113241949,20.4113241949,20.4113241949
 01/07  07:00:00,8.0083333333,0.625,8.3333333333,20.3032320304,20.3032320304,20.3032320304
 01/07  08:00:00,8.4416666667,0.875,40.8333333333,20.2028015619,20.2028015619,20.2028015619
 01/07  09:00:00,8.9,1.85,75.8333333333,20.3535019885,20.3535019885,20.3535019885
 01/07  10:00:00,9.5416666667,2.1,237.5,20.7359049394,20.7359049394,20.7359049394
 01/07  11:00:00,8.7166666667,4.2,350,21.4038525129,21.4038525129,21.4038525129
 01/07  12:00:00,7.8,5.7,355.8333333333,21.072183097,21.072183097,21.072183097
 01/07  13:00:00,8.4416666667,4.1833333333,354.1666666667,21.4494556583,21.4494556583,21.4494556583
 01/07  14:00:00,8.9,3.1,350,23.1568605878,23.1568605878,23.1568605878
 01/07  15:00:00,9.5416666667,3.6833333333,355.8333333333,23.8866711054,23.8866711054,23.8866711054
 01/07  16:00:00,9.65,3.5166666667,360,24.8879670641,24.8879670641,24.8879670641
 01/07  17:00:00,9.1083333333,2.8083333333,360,22.9991604561,22.9991604561,22.9991604561
 01/07  18:00:00,8.55,3.475,348.3333333333,21.4429844652,21.4429844652,21.4429844652
 01/07  19:00:00,8.0083333333,4.1,351.6666666667,20.965311228,20.965311228,20.965311228
 01/07  20:00:00,7.45,3.8083333333,360,20.6428962865,20.6428962865,20.6428962865
 01/07  21:00:00,6.9083333333,3.3083333333,360,20.3622332669,20.3622332669,20.3622332669
 01/07  22:00:00,6.7,1.2916666667,150,20.1240194732,20.1240194732,20.1240194732
 01/07  23:00:00,6.35,1.225,23.3333333333,19.9217036097,19.9217036097,19.9217036097
 01/07  24:00:00,5.8083333333,0.875,16.6666666667,19.713300519,19.713300519,19.713300519
 01/08  01:00:00,5.6,0,0,19.5199858622,19.5199858622,19.5199858622
 01/08  02:00:00,5.25,0.875,17.5,19.3223688769,19.3223688769,19.3223688769
 01/08  03:00:00,5,0.625,12.5,19.122179606,19.122179606,19.122179606
 01/08  04:00:00,5,0.875,23.3333333333,18.9493446363,18.9493446363,18.9493446363
 01/08  05:00:00,4.65,1.5,92.5,18.7607052444,18.7607052444,18.7607052444
 01/08  06:00:00,4.4,1.85,106.6666666667,18.5682121985,18.5682121985,18.5682121985
 01/08  07:00:00,4.1083333333,2.1,107.5,18.384056329,18.384056329,18.384056329
 01/08  08:00:00,3.9,0.875,50,18.3601236315,18.3601236315,18.3601236315
 01/08  09:00:00,3.9583333333,0.875,87.5,19.6454026407,19.6454026407,19.6454026407
 01/08  10:00:00,6.2166666667,1.85,115,21.5180292362,21.5180292362,21.5180292362
 01/08  11:00:00,8.5,2.3916666667,72.5,23.3573441865,23.3573441865,23.3573441865
 01/08  12:00:00,9.5833333333,1.9583333333,30.8333333333,24.8623721794,24.8623721794,24.8623721794
 01/08  13:00:00,11.75,1.85,50.8333333333,26.0816561929,26.0816561929,26.0816561929
 01/08  14:00:00,12.4166666667,0.875,33.3333333333,26.9521330702,26.9521330702,26.9521330702
 01/08  15:00:00,13.1666666667,0,0,28.0948277718,28.0948277718,28.0948277718
 01/08  16:00:00,13.9416666667,0,0,27.8059364445,27.8059364445,27.8059364445
 01/08  17:00:00,11.975,1.8083333333,35,24.8740004969,24.8740004969,24.8740004969
 01/08  18:00:00,11.2416666667,2.1666666667,89.1666666667,23.0720865549,23.0720865549,23.0720865549
 01/08  19:00:00,10.7083333333,2.4333333333,92.5,22.4958697279,22.4958697279,22.4958697279
 01/08  20:00:00,9.3583333333,3.3916666667,97.5,22.0405943455,22.0405943455,22.0405943455
 01/08  21:00:00,8.9,3.6,104.1666666667,21.6803658428,21.6803658428,21.6803658428
 01/08  22:00:00,9.1916666667,3.8916666667,94.1666666667,21.4085445954,21.4085445954,21.4085445954
 01/08  23:00:00,9.4,4.3916666667,95.8333333333,21.1860794167,21.1860794167,21.1860794167
 01/08  24:00:00,9.1083333333,4.3083333333,100,20.9638668492,20.9638668492,20.9638668492
 01/09  01:00:00,8.2583333333,3.5166666667,100,20.7243161674,20.7243161674,20.7243161674
 01/09  02:00:00,9.0833333333,3.1,70.8333333333,20.5446230419,20.5446230419,20.5446230419
 01/09  03:00:00,9.0083333333,1.2916666667,20.8333333333,20.4148089692,20.4148089692,20.4148089692
 01/09  04:00:00,7.0166666667,1.5166666667,81.6666666667,20.1547895033,20.1547895033,20.1547895033
 01/09  05:00:00,6.7416666667,3.475,268.3333333333,19.9154124786,19.9154124786,19.9154124786
 01/09  06:00:00,6.9083333333,3.225,354.1666666667,19.7628479727,19.7628479727,19.7628479727
 01/09  07:00:00,6.35,2.3083333333,355.8333333333,19.5713023811,19.5713023811,19.5713023811
 01/09  08:00:00,6.1,2.3916666667,360,19.5539567143,19.5539567143,19.5539567143
 01/09  09:00:00,6.625,3.475,155.8333333333,20.7483431422,20.7483431422,20.7483431422
 01/09  10:00:00,7.1166666667,2.5833333333,10,22.3900477384,22.3900477384,22.3900477384
