@,Latitude,Longitude,Time,Tweet,Media,Tags0,Tags1,Tags2,Tags3,Tags4,Tags5,Tags6
@aimrashid,53.37740892,-1.47199675,Time: Wed Feb 12 13:07:40 GMT 2014,Setting up for data collection and visualisation #studioOD ##work #rest #play http://t.co/bYBMtkRLU2,108,studioOD,work,rest,play,,,
@aimrashid,53.37743936,-1.47223584,Time: Wed Feb 12 13:07:33 GMT 2014,Open source softwares briefing #studioOD #work #gimp #inkscape http://t.co/xDXc49JMgd,109,studioOD,work,gimp,inkscape,,,
@Corinarchitect,," ",Time: Wed Feb 12 13:06:25 GMT 2014,For the vegetables #studioOD #work #urbanfarming http://t.co/mRhRXeshZj,110,studioOD,work,urbanfarming,,,,
@Corinarchitect,53.3731715,-1.468361,Time: Wed Feb 12 13:06:07 GMT 2014,Suggestion  - a roof perhaps? 'I think not having a bridge would actually be better.' @bartjasmith #studioOD #work http://t.co/SUuBoOkC3F,111,studioOD,work,,,,,
@Corinarchitect,," ",Time: Wed Feb 12 13:06:07 GMT 2014,Purloined east midlands train trolley being put to good use as a wheelbarrow #studioOD #work #play http://t.co/ShcbJSoTxb,112,studioOD,work,play,,,,
@bartjasmith,53.3766861,-1.4604454,Time: Wed Feb 12 13:04:29 GMT 2014,#studioOD #work #urbanfarming http://t.co/iOnd3CqnHH,113,studioOD,work,urbanfarming,,,,
@kolnranger,53.37755588,-1.46542286,Time: Wed Feb 12 12:58:05 GMT 2014,#StudioOD #art http://t.co/REYQq5AG9v,114,StudioOD,art,,,,,
@ssckelleher,," ",Time: Wed Feb 12 12:49:42 GMT 2014,#studioOD #WORK harvesting at hackspace.. what a crop. http://t.co/xpFGhekV9Y,115,studioOD,WORK,,,,,
@bartjasmith,53.3750858,-1.4672403,Time: Wed Feb 12 12:49:10 GMT 2014,For passenger use only... #studioOD #work #play #urbanfarming http://t.co/UiHjkgRiYN,116,studioOD,work,play,urbanfarming,,,
@bartjasmith,53.3750858,-1.4672403,Time: Wed Feb 12 12:45:15 GMT 2014,#studioOD #work #urbanfarming http://t.co/ip75YjANT5,117,studioOD,work,urbanfarming,,,,
@sifarrahzaini,," ",Time: Wed Feb 12 12:42:54 GMT 2014,#studioOD grafiti http://t.co/S2UTqQC2qU,118,studioOD,,,,,,
